Ainit T val
24 801 0
26 801 0
28 801 0
30 801 0
32 801 0
34 801 0
36 801 0
38 801 0
40 801 0
42 801 0
44 801 0
46 801 0
48 801 0
50 801 0
1 2 1
3 2 1
5 2 1
7 2 1
9 2 2
11 2 1
13 2 1
15 2 1
17 2 1
19 2 1
21 2 1
23 2 1
25 2 1
27 2 1
29 2 1
31 2 1
33 2 1
35 2 1
37 2 1
39 2 1
41 2 1
43 2 1
45 2 1
47 2 1
49 2 1
1 42 2
3 42 1
5 42 2
7 42 2
9 42 1
11 42 2
13 42 2
15 42 1
17 42 1
19 42 1
21 42 1
23 42 1
25 42 1
27 42 1
29 42 1
31 42 1
33 42 1
35 42 1
37 42 1
39 42 1
41 42 1
43 42 1
45 42 1
47 42 1
49 42 1
1 82 1
3 82 1
5 82 2
7 82 2
9 82 2
11 82 2
13 82 2
15 82 2
17 82 1
19 82 1
21 82 1
23 82 1
25 82 1
27 82 1
29 82 1
31 82 1
33 82 1
35 82 1
37 82 1
39 82 1
41 82 1
43 82 1
45 82 1
47 82 1
49 82 1
1 122 1
3 122 2
5 122 2
7 122 2
9 122 1
11 122 2
13 122 2
15 122 1
17 122 1
19 122 1
21 122 1
23 122 1
25 122 1
27 122 1
29 122 1
31 122 1
33 122 1
35 122 1
37 122 1
39 122 1
41 122 1
43 122 1
45 122 1
47 122 1
49 122 1
1 162 2
3 162 2
5 162 2
7 162 2
9 162 2
11 162 2
13 162 2
15 162 2
17 162 1
19 162 1
21 162 1
23 162 1
25 162 1
27 162 1
29 162 1
31 162 1
33 162 1
35 162 1
37 162 1
39 162 1
41 162 1
43 162 1
45 162 1
47 162 1
49 162 1
1 202 1
3 202 1
5 202 2
7 202 2
9 202 2
11 202 2
13 202 1
15 202 1
17 202 1
19 202 1
21 202 1
23 202 1
25 202 1
27 202 1
29 202 1
31 202 1
33 202 1
35 202 1
37 202 1
39 202 1
41 202 1
43 202 1
45 202 1
47 202 1
49 202 1
1 242 1
3 242 1
5 242 2
7 242 1
9 242 2
11 242 1
13 242 1
15 242 1
17 242 1
19 242 1
21 242 1
23 242 1
25 242 1
27 242 1
29 242 1
31 242 1
33 242 1
35 242 1
37 242 1
39 242 1
41 242 1
43 242 1
45 242 1
47 242 1
49 242 1
1 282 1
3 282 1
5 282 1
7 282 1
9 282 2
11 282 2
13 282 2
15 282 1
17 282 1
19 282 1
21 282 1
23 282 1
25 282 1
27 282 1
29 282 1
31 282 1
33 282 1
35 282 1
37 282 1
39 282 1
41 282 1
43 282 1
45 282 1
47 282 1
49 282 1
1 322 1
3 322 1
5 322 2
7 322 2
9 322 2
11 322 2
13 322 1
15 322 2
17 322 1
19 322 2
21 322 2
23 322 2
25 322 1
27 322 2
29 322 2
31 322 2
33 322 2
35 322 2
37 322 2
39 322 2
41 322 1
43 322 2
45 322 1
47 322 2
49 322 2
1 362 1
3 362 1
5 362 1
7 362 1
9 362 2
11 362 1
13 362 1
15 362 2
17 362 1
19 362 1
21 362 1
23 362 1
25 362 2
27 362 1
29 362 1
31 362 1
33 362 1
35 362 2
37 362 2
39 362 1
41 362 1
43 362 2
45 362 1
47 362 1
49 362 1
1 402 0
3 402 1
5 402 1
7 402 2
9 402 1
11 402 2
13 402 1
15 402 2
17 402 1
19 402 1
21 402 1
23 402 1
25 402 1
27 402 2
29 402 1
31 402 2
33 402 1
35 402 1
37 402 1
39 402 2
41 402 2
43 402 1
45 402 2
47 402 2
49 402 2
1 442 0
3 442 1
5 442 1
7 442 1
9 442 1
11 442 1
13 442 1
15 442 2
17 442 1
19 442 2
21 442 2
23 442 1
25 442 1
27 442 2
29 442 2
31 442 2
33 442 1
35 442 2
37 442 1
39 442 1
41 442 2
43 442 2
45 442 2
47 442 2
49 442 2
1 482 0
3 482 0
5 482 1
7 482 1
9 482 2
11 482 1
13 482 0
15 482 2
17 482 1
19 482 1
21 482 1
23 482 1
25 482 2
27 482 1
29 482 1
31 482 0
33 482 2
35 482 2
37 482 2
39 482 2
41 482 2
43 482 1
45 482 2
47 482 2
49 482 2
1 522 0
3 522 0
5 522 0
7 522 1
9 522 0
11 522 1
13 522 1
15 522 0
17 522 1
19 522 1
21 522 1
23 522 1
25 522 1
27 522 1
29 522 1
31 522 1
33 522 1
35 522 1
37 522 1
39 522 1
41 522 1
43 522 1
45 522 1
47 522 1
49 522 1
1 562 0
3 562 0
5 562 0
7 562 1
9 562 1
11 562 0
13 562 1
15 562 0
17 562 0
19 562 1
21 562 1
23 562 0
25 562 1
27 562 1
29 562 0
31 562 1
33 562 0
35 562 1
37 562 1
39 562 1
41 562 2
43 562 1
45 562 0
47 562 0
49 562 1
1 602 0
3 602 0
5 602 0
7 602 0
9 602 0
11 602 0
13 602 0
15 602 0
17 602 0
19 602 0
21 602 0
23 602 0
25 602 1
27 602 0
29 602 0
31 602 2
33 602 0
35 602 0
37 602 1
39 602 0
41 602 1
43 602 0
45 602 0
47 602 1
49 602 0
1 642 0
3 642 0
5 642 0
7 642 0
9 642 2
11 642 0
13 642 0
15 642 0
17 642 0
19 642 0
21 642 0
23 642 0
25 642 0
27 642 0
29 642 0
31 642 0
33 642 1
35 642 0
37 642 2
39 642 0
41 642 0
43 642 0
45 642 1
47 642 0
49 642 0
1 682 0
3 682 0
5 682 0
7 682 0
9 682 0
11 682 0
13 682 0
15 682 0
17 682 0
19 682 0
21 682 0
23 682 0
25 682 0
27 682 0
29 682 0
31 682 0
33 682 0
35 682 0
37 682 0
39 682 1
41 682 0
43 682 0
45 682 0
47 682 0
49 682 0
1 722 0
3 722 0
5 722 0
7 722 0
9 722 0
11 722 0
13 722 0
15 722 0
17 722 0
19 722 0
21 722 0
23 722 0
25 722 0
27 722 0
29 722 0
31 722 0
33 722 0
35 722 0
37 722 0
39 722 0
41 722 0
43 722 0
45 722 1
47 722 0
49 722 1
1 762 0
