Ainit T val
34 421 1.29688
36 421 1.38086
38 421 1.30078
40 421 1.36328
42 421 1.27734
44 421 1.27734
46 421 1.30859
48 421 1.24512
50 421 1.35938
0 451 0
2 451 1.02921
4 451 1.31548
6 451 1.2561
8 451 1.3929
10 451 1.48758
12 451 1.4165
14 451 1.52252
16 451 1.44912
18 451 1.47461
20 451 1.4375
22 451 1.48633
24 451 1.47605
26 451 1.47949
28 451 1.45117
30 451 1.44531
32 451 1.49023
34 451 1.48438
36 451 1.44141
38 451 1.4502
40 451 1.4873
42 451 1.50684
44 451 1.39355
46 451 1.45117
48 451 1.54297
50 451 1.45996
0 481 0
2 481 1.31045
4 481 1.68939
6 481 1.84777
8 481 1.82514
10 481 1.66265
12 481 1.8236
14 481 1.81335
16 481 1.83671
18 481 1.77778
20 481 1.83728
22 481 1.77036
24 481 1.78039
26 481 1.80705
28 481 1.69306
30 481 1.81836
32 481 1.76758
34 481 1.71484
36 481 1.79785
38 481 1.73828
40 481 1.76758
42 481 1.73633
44 481 1.74609
46 481 1.72363
48 481 1.72363
50 481 1.71484
0 511 0
2 511 1
4 511 0
6 511 1.96829
8 511 1.97817
10 511 1.97444
12 511 1.95789
14 511 1.96171
16 511 1.94342
18 511 1.86878
20 511 1.92755
22 511 1.93314
24 511 1.94423
26 511 1.93744
28 511 1.9209
30 511 1.7931
32 511 1.88224
34 511 1.82566
36 511 1.94531
38 511 1.81934
40 511 1.91016
42 511 1.88477
44 511 1.84457
46 511 1.81543
48 511 1.84961
50 511 1.85645
0 541 0
2 541 1
4 541 1.52477
6 541 1.75728
8 541 1.95923
10 541 1.87466
12 541 1.87901
14 541 1.89579
16 541 1.93615
18 541 1.90061
20 541 1.85484
22 541 1.92217
24 541 1.95797
26 541 1.93164
28 541 1.96484
30 541 1.94824
32 541 1.93457
34 541 1.91953
36 541 1.93164
38 541 1.9082
40 541 1.94629
42 541 1.89355
44 541 1.83984
46 541 1.73535
48 541 1.90625
50 541 1.91992
0 571 0
2 571 0
4 571 1.52052
6 571 1
8 571 1.73312
10 571 1.75
12 571 1.91244
14 571 1.71111
16 571 1.75
18 571 1.90657
20 571 1.89286
22 571 1.91403
24 571 1.7668
26 571 1.56105
28 571 1.92473
30 571 1.9233
32 571 1.55176
34 571 1.95312
36 571 1.90588
38 571 1.94922
40 571 1.94238
42 571 1.9248
44 571 1.64551
46 571 1.91406
48 571 1.90332
50 571 1.9248
0 601 0
2 601 0
4 601 0
6 601 0
8 601 1.74527
10 601 1.76503
12 601 1.64424
14 601 0
16 601 1.64037
18 601 1.62244
20 601 1.76291
22 601 1.8169
24 601 1.75
26 601 1.54012
28 601 1.75263
30 601 1.90518
32 601 1.75391
34 601 1.9248
36 601 1.81934
38 601 1.88965
40 601 1.89638
42 601 1.82647
44 601 1.8916
46 601 1.55227
48 601 1.75
50 601 1.9209
0 631 0
2 631 0
4 631 1
6 631 1.53623
8 631 0
10 631 1.3427
12 631 1.48471
14 631 1.50493
16 631 1.75
18 631 1.43854
20 631 1.67963
22 631 1.51562
24 631 1.75
26 631 1.75098
28 631 1.50586
30 631 1.46521
32 631 0
34 631 1.55176
36 631 1.61891
38 631 1.53125
40 631 1.83887
